movie_name,ost_name,artist,year,mvdir,mvact,gerne,valence,acousticness,danceability,energy,loudness,tempo
Bad Boys For Life,Muevelo,"Nicky Jam, Daddy Yankee",2020,"아딜 엘 아르비, 빌랄 팔라","마틴 로렌스, 윌 스미스",액션,0.919,0.415,0.594,0.808,-2.409,188.09
Bad Boys For Life,Damn I Love Miami,"Pitbull, Lil Jon",2020,"아딜 엘 아르비, 빌랄 팔라","마틴 로렌스, 윌 스미스",액션,0.673,0.0584,0.796,0.942,-4.952,124.008
Bad Boys For Life,Uptown II (feat. Farruko),Meek Mill,2020,"아딜 엘 아르비, 빌랄 팔라","마틴 로렌스, 윌 스미스",액션,0.25,0.00621,0.775,0.794,-3.875,99.04
Bill & Ted Face the Music,Beginning Of The End (Wyld Stallyns Edit),Weezer,2020,딘 패리소트,"키아누 리브스, 알렉스 윈터, 사마라 위빙, 브리젯 런디-페인",코미디 모험,0.391,0.000308,0.499,0.817,-4.838,137.88
Bill & Ted Face the Music,Lost In Time,Big Black Delta,2020,딘 패리소트,"키아누 리브스, 알렉스 윈터, 사마라 위빙, 브리젯 런디-페인",코미디 모험,0.384,0.00317,0.632,0.948,-6.02,110.003
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Boss Bitch,Doja Cat,2020,캐시 얀,마고 로비,"액션, 모험, 범죄",0.575,0.127,0.707,0.955,-4.593,125.993
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Sway With Me,"Saweetie, GALXARA",2020,캐시 얀,마고 로비,"액션, 모험, 범죄",0.875,0.00468,0.621,0.849,-4.243,130.979
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Joke's On You,Charlotte Lawren,2020,캐시 얀,마고 로비,"액션, 모험, 범죄",0.47,0.23,0.476,0.652,-4.546,190.118
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,The Fantabulous Emancipation Explosion,Daniel Pemberton,2020,캐시 얀,마고 로비,"액션, 모험, 범죄",0.0795,0.307,0.408,0.452,-6.442,189.867
Bloodshot,Wake Up,Steve Jablonsky,2020,데이브 윌슨,"빈 디젤, 에이사 곤잘레스, 샘 휴건, 가이 피어스, 토비 켑벨","액션, 드라마, 판타지, SF",0.0373,0.79,0.186,0.157,-22.154,119.818
Bloodshot,Training Montage,Steve Jablonsky,2020,데이브 윌슨,"빈 디젤, 에이사 곤잘레스, 샘 휴건, 가이 피어스, 토비 켑벨","액션, 드라마, 판타지, SF",0.0388,0.0298,0.504,0.474,-14.423,117.9
Bloodshot,Die Already,Steve Jablonsky,2020,데이브 윌슨,"빈 디젤, 에이사 곤잘레스, 샘 휴건, 가이 피어스, 토비 켑벨","액션, 드라마, 판타지, SF",0.051,0.308,0.171,0.834,-10.499,116.062
